ENSG00000223972,ENST00000456328
ENSG00000227232,ENST00000438504
ENSG00000243485,ENST00000473358
ENSG00000237613,ENST00000417324
ENSG00000268020,ENST00000606857
ENSG00000240361,ENST00000492842
ENSG00000186092,ENST00000335137
ENSG00000238009,ENST00000466430
ENSG00000239945,ENST00000495576
ENSG00000233750,ENST00000442987
ENSG00000237683,ENST00000423372
ENSG00000268903,ENST00000494149
ENSG00000269981,ENST00000595919
ENSG00000239906,ENST00000493797
ENSG00000241860,ENST00000484859
ENSG00000222623,ENST00000410691
ENSG00000241599,ENST00000496488
ENSG00000228463,ENST00000442116
ENSG00000241670,ENST00000424429
ENSG00000237094,ENST00000440038
ENSG00000250575,ENST00000514436
ENSG00000233653,ENST00000432723
ENSG00000224813,ENST00000445840
ENSG00000235249,ENST00000426406
ENSG00000269732,ENST00000437905
ENSG00000256186,ENST00000540477
ENSG00000236601,ENST00000450983
ENSG00000236743,ENST00000441866
ENSG00000236679,ENST00000458203
ENSG00000231709,ENST00000417636
ENSG00000235146,ENST00000423796
ENSG00000239664,ENST00000440196
ENSG00000230021,ENST00000440200
ENSG00000223659,ENST00000452176
ENSG00000225972,ENST00000416931
ENSG00000225630,ENST00000457540
ENSG00000237973,ENST00000414273
ENSG00000229344,ENST00000427426
ENSG00000240409,ENST00000467115
ENSG00000248527,ENST00000514057
ENSG00000198744,ENST00000416718
ENSG00000268663,ENST00000438434
ENSG00000185097,ENST00000332831
ENSG00000229376,ENST00000440782
ENSG00000224956,ENST00000506640
ENSG00000235373,ENST00000416385
ENSG00000223181,ENST00000411249
ENSG00000240618,ENST00000417659
ENSG00000229905,ENST00000422528
ENSG00000228327,ENST00000428504
ENSG00000237491,ENST00000434264
ENSG00000230092,ENST00000590817
ENSG00000269831,ENST00000599533
ENSG00000240453,ENST00000435300
ENSG00000177757,ENST00000326734
ENSG00000225880,ENST00000473798
ENSG00000228794,ENST00000445118
ENSG00000230368,ENST00000446136
ENSG00000234711,ENST00000415481
ENSG00000269308,ENST00000594233
ENSG00000272438,ENST00000607769
ENSG00000230699,ENST00000448179
ENSG00000241180,ENST00000398216
ENSG00000223764,ENST00000609207
ENSG00000187634,ENST00000420190
ENSG00000268179,ENST00000598827
ENSG00000188976,ENST00000483767
ENSG00000187961,ENST00000338591
ENSG00000187583,ENST00000379410
ENSG00000187642,ENST00000433179
ENSG00000272512,ENST00000606034
ENSG00000188290,ENST00000428771
ENSG00000231702,ENST00000423619
ENSG00000224969,ENST00000458555
ENSG00000187608,ENST00000379389
ENSG00000188157,ENST00000379370
ENSG00000242590,ENST00000418300
ENSG00000217801,ENST00000427998
ENSG00000273443,ENST00000442292
ENSG00000237330,ENST00000453464
ENSG00000131591,ENST00000379339
ENSG00000223823,ENST00000416774
ENSG00000207730,ENST00000384997
ENSG00000207607,ENST00000384875
ENSG00000198976,ENST00000362106
ENSG00000272141,ENST00000606993
ENSG00000205231,ENST00000379317
ENSG00000162571,ENST00000506177
ENSG00000186891,ENST00000328596
ENSG00000186827,ENST00000379236
ENSG00000078808,ENST00000360001
ENSG00000176022,ENST00000379198
ENSG00000184163,ENST00000462849
ENSG00000260179,ENST00000565563
ENSG00000160087,ENST00000450390
ENSG00000230415,ENST00000434139
ENSG00000162572,ENST00000379116
ENSG00000131584,ENST00000354700
ENSG00000169972,ENST00000379031
ENSG00000127054,ENST00000470030
ENSG00000240731,ENST00000444968
ENSG00000224051,ENST00000464957
ENSG00000169962,ENST00000339381
ENSG00000107404,ENST00000378891
ENSG00000162576,ENST00000474033
ENSG00000175756,ENST00000338370
ENSG00000223663,ENST00000435351
ENSG00000221978,ENST00000480479
ENSG00000224870,ENST00000448629
ENSG00000242485,ENST00000344843
ENSG00000264293,ENST00000582431
ENSG00000272455,ENST00000607307
ENSG00000235098,ENST00000520296
ENSG00000225905,ENST00000428932
ENSG00000205116,ENST00000378821
ENSG00000225285,ENST00000430109
ENSG00000179403,ENST00000495558
ENSG00000215915,ENST00000378785
ENSG00000160072,ENST00000378741
ENSG00000197785,ENST00000378756
ENSG00000205090,ENST00000378733
ENSG00000160075,ENST00000291386
ENSG00000215791,ENST00000539195
ENSG00000215014,ENST00000366221
ENSG00000236684,ENST00000426195
ENSG00000228594,ENST00000422725
ENSG00000272106,ENST00000607222
ENSG00000197530,ENST00000520777
ENSG00000189409,ENST00000356026
ENSG00000248333,ENST00000513088
ENSG00000272004,ENST00000607013
ENSG00000189339,ENST00000378662
ENSG00000269737,ENST00000596308
ENSG00000269227,ENST00000597891
ENSG00000215914,ENST00000412810
ENSG00000008128,ENST00000356200
ENSG00000268575,ENST00000598846
ENSG00000227775,ENST00000577672
ENSG00000215790,ENST00000355439
ENSG00000008130,ENST00000341426
ENSG00000078369,ENST00000378609
ENSG00000231050,ENST00000412228
ENSG00000169885,ENST00000307786
ENSG00000178821,ENST00000378602
ENSG00000142609,ENST00000464311
ENSG00000233542,ENST00000443930
ENSG00000187730,ENST00000378585
ENSG00000226969,ENST00000445600
ENSG00000067606,ENST00000378567
ENSG00000271806,ENST00000606533
ENSG00000182873,ENST00000333854
ENSG00000162585,ENST00000469733
ENSG00000269554,ENST00000597060
ENSG00000203301,ENST00000545087
ENSG00000243558,ENST00000420964
ENSG00000234396,ENST00000442483
ENSG00000157933,ENST00000378536
ENSG00000116151,ENST00000378531
ENSG00000272161,ENST00000607720
ENSG00000269753,ENST00000600779
ENSG00000269896,ENST00000602865
ENSG00000238240,ENST00000417061
ENSG00000272420,ENST00000607858
ENSG00000271921,ENST00000606642
ENSG00000271847,ENST00000606280
ENSG00000178642,ENST00000317490
ENSG00000157916,ENST00000378518
ENSG00000157911,ENST00000288774
ENSG00000149527,ENST00000609981
ENSG00000224387,ENST00000424657
ENSG00000229393,ENST00000442305
ENSG00000157881,ENST00000378466
ENSG00000197921,ENST00000378453
ENSG00000272449,ENST00000606645
ENSG00000238164,ENST00000449660
ENSG00000157873,ENST00000426449
ENSG00000225931,ENST00000456687
ENSG00000228037,ENST00000424215
ENSG00000157870,ENST00000493183
ENSG00000142606,ENST00000471840
ENSG00000237058,ENST00000427302
