"initial"	"last"	"count"	"total"	"flag"	"min"	"max"	"mean"	"percentile_5"	"percentile_95"	"lower"	"upper"	"left"	"right"	"potential"	"score"
19633962	19642114	1065	1065	0	0	1	0.893229166666667	0	1	1	1	0	0	0	0
19642271	19646442	1185	1185	0	0	1	0.877604166666667	0	1	1	1	0	0	0	0
19647292	19648421	1079	1079	0	0	1	0.994791666666667	1	1	1	1	0	0	0	0
19648522	19650002	1066	1066	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
19650261	19658994	1102	1102	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
19659118	19659200	0	0	NA	0	0.0864197530864197	0.000536631026596842	0	0	0	0	3	0	0	0
19659121	19659200	1314	1314	0	0.91358024691358	1	0.999463368973403	1	1	1	1	0	0	0	0
19659290	19660151	25	791	0	0	0.315789473684211	0.029401349250838	0	0.207083333333333	0.0194135406464008	0.0437975845116271	0	787	0	0
19659290	19660938	0	0	NA	0	0.161290322580645	0.000617312235255784	0	0	0	0	0	0	0	0
19659290	19661697	766	791	0	0	1	0.967377171847239	0.789802631578947	1	0.956202415488373	0.980586459353599	0	0	0	0
19660270	19661697	0	0	NA	0	1	0.00406901041666667	0	0	0	0	821	0	0	0
19660321	19661697	0	0	NA	0	1	0.0428059895833333	0	0	0	0	770	0	0	0
19661839	19661962	13	991	0	0	0.208333333333333	0.00840743917558479	0	0.0795183982683983	0.00603392977538009	0.0202021953507551	0	-265	0	0
19661839	19663039	978	991	0	0.791666666666667	1	0.991592560824415	0.920481601731602	1	0.979797804649245	0.99396607022462	0	0	0	0
19662078	19663039	0	0	NA	0	1	0.00520833333333333	0	0	0	0	-239	0	0	0
19662082	19663039	11	11	0	0	1	0.0390625	0	0	1	1	-243	0	0	0
19663127	19666424	968	968	0	1	1	1	1	1	1	1	0	0	0	0
19666580	19668376	887	887	0	1	1	1	1	1	1	1	0	0	0	0
19668532	19670235	894	894	0	1	1	1	1	1	1	1	0	0	0	0
19670364	19670839	187	653	0	0	0.840579710144927	0.376508785906253	0.123526077097506	0.62617316017316	0.251696907323492	0.321044287163491	0	0	0	0
19670364	19670843	22	653	0	0	0.205128205128205	0.00955432345255834	0	0.0833333333333333	0.0198514159960927	0.0475299010023759	0	-4	0	0
19670364	19671205	444	653	0	0.159420289855072	1	0.613936890641189	0.339512987012987	0.876473922902494	0.644157871664465	0.715719616850083	0	0	0	0
19670915	19671205	0	0	NA	0	0.318181818181818	0.00305942487017734	0	0	0	0	50	0	0	0
19670965	19671205	60	60	0	0	1	0.520378075129823	0	1	1	1	0	0	0	0
19671290	19671833	642	642	0	1	1	1	1	1	1	1	0	0	0	0
19672868	19672959	10	10	0	0	0	NA	NA	NA	1	1	592	-1126	1	1
19958842	19959957	225	669	0	0	1	0.0138780245188473	0	0	0.300521500545175	0.372124239365139	0	0	0	0
19958960	19959957	163	669	0	0	1	0.0619800802941768	0	0.532692307692306	0.211117092958311	0.276177376398939	-118	0	0	0
19959136	19959957	281	669	0	0	1	0.377266895186976	0	1	0.382628662563725	0.457431128168711	-294	0	0	0
19960027	19965219	17	843	0	0	0.0212765957446809	5.54078014184397e-05	0	0	0.0106768824268048	0.0296552646669081	0	0	0	0
19960027	19969830	0	0	NA	0	0.138888888888889	0.000361689814814815	0	0	0	0	0	194	0	0
19960027	19970024	136	843	0	0	1	0.162064193604561	0	0.46048951048951	0.136497607781097	0.186159568968607	0	0	0	0
19960027	19993062	690	843	0	0	1	0.759393708779206	0	1	0.792486675429529	0.844524000727055	0	0	0	0
19965282	19993062	0	0	NA	0	1	0.00260416666666667	0	0	0	0	0	0	0	0
19969904	19970024	0	0	NA	0	1	0.00260416666666667	0	0	0	0	168	0	0	0
19970072	19993062	127	127	0	0	1	0.494791666666667	0	1	1	1	0	0	0	0
19993565	19993825	360	360	0	0	1	0.953125	1	1	1	1	0	0	0	0
19993920	20002849	1472	1472	0	0	1	0.989583333333333	1	1	1	1	0	0	0	0
20003136	20005073	719	719	0	0	1	0.984375	1	1	1	1	0	0	0	0
20005240	20006373	1352	1352	0	0	1	0.984375	1	1	1	1	0	0	0	0
20006587	20019546	1043	1054	0	0	1	0.992107780612245	1	1	0.983428297758168	0.99569883696669	0	0	0	0
20006587	20019550	0	0	NA	0	0.0306122448979592	7.9719387755102e-05	0	0	0	0	0	-4	0	0
20006587	20026611	11	1054	0	0	0	NA	NA	NA	0.00430116303330987	0.0165717022418324	0	0	1	0
20019619	20022679	0	0	NA	0	0.571428571428571	0.00421669068268333	0	0	0	0	0	1714	0	0
20019619	20025225	0	0	NA	0	0.615384615384615	0.00797183055914674	0	0	0	0	0	81	0	0
20019619	20026611	867	867	0	0	1	0.964195261437908	1	1	1	1	0	0	0	0
20019619	20027202	0	0	NA	0	0.0686274509803922	0.000178717320261438	0	0	0	0	0	0	0	0
20025376	20026611	0	0	NA	0	1	0.0494791666666667	0	0	0	0	0	0	0	0
20026763	20027202	1599	1599	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
20027319	20027984	19	1005	0	0	0.291666666666667	0.00656421116706061	0	0	0.0104852759423494	0.0273256693312825	0	0	0	0
20027319	20031318	986	1005	0	0	1	0.990831622166273	0.96015625	1	0.972674330668717	0.989514724057651	0	0	0	0
20028065	20031318	12	12	0	0	1	0.0390625	0	0	1	1	0	0	0	0
20031436	20034253	774	774	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
20034405	20035194	0	0	NA	0	0.00985221674876847	2.56568144499179e-05	0	0	0	0	0	-941	0	0
20034405	20036736	1243	1243	0	0	1	0.997370176518883	1	1	1	1	0	0	0	0
20035212	20036736	0	0	NA	0	1	0.00260416666666667	0	0	0	0	-807	0	0	0
20036910	20051432	1643	1643	0	0	1	0.994772658150852	1	1	1	1	0	0	0	0
20036910	20059446	0	0	NA	0	0.0072992700729927	1.90085158150852e-05	0	0	0	0	0	0	0	0
20051599	20052276	1643	1643	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
20052312	20058574	1742	1742	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
20058705	20059446	1362	1362	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
20059563	20059729	0	0	NA	0	0.045045045045045	0.000142314808806405	0	0	0	0	0	-283	0	0
20059563	20061052	1331	1331	0	0	1	0.997253518524527	1	1	1	1	0	0	0	0
20061225	20061609	0	0	NA	0	0.130434782608696	0.00161900391099015	0	0	0	0	0	-557	0	0
20061225	20062845	1148	1174	0	0	1	0.994639085171816	1	1	0.969435441499595	0.986271543168207	0	0	0	0
20061225	20064450	26	1174	0	0	0.111111111111111	0.00113774425052719	0	0	0.0137284568317931	0.0305645585004045	0	0	0	0
20062972	20064450	1240	1240	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
20064546	20065033	0	0	NA	0	0.075	0.000373680079908676	0	0	0	0	0	-583	0	0
20064546	20066850	1305	1305	0	0	1	0.997022153253425	1	1	1	1	0	0	0	0
20065082	20066850	0	0	NA	0	1	0.00260416666666667	0	0	0	0	-536	0	0	0
20067020	20067238	1397	1397	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
20067391	20068083	0	0	NA	0	1	0.00453409480459252	0	0	0	0	0	5	0	0
20067391	20071810	0	0	NA	0	0.087719298245614	0.000580034929052383	0	0	0	0	0	-3722	0	0
20067391	20082015	1269	1269	0	0	1	0.994741194340429	1	1	1	1	0	0	0	0
20067391	20082780	0	0	NA	0	0.0555555555555556	0.000144675925925926	0	0	0	0	0	0	0	0
20071924	20074420	0	0	NA	0	0.16025641025641	0.000417334401709402	0	0	0	0	-3574	-6332	0	0
20071924	20082015	12	12	0	0	1	0.103649172008547	0	1	1	1	-3574	0	0	0
20071924	20082780	0	0	NA	0	0.0384615384615385	0.000100160256410256	0	0	0	0	-3574	0	0	0
20074515	20074721	0	0	NA	0	1	0.00260416666666667	0	0	0	0	-6165	-6633	0	0
20074816	20082015	0	0	NA	0	1	0.00260416666666667	0	0	0	0	-6466	0	0	0
20082131	20082765	0	0	NA	0	0.0292397660818713	7.614522417154e-05	0	0	0	0	0	15	0	0
20082131	20082780	1337	1337	0	0.936170212765957	1	0.999107824239853	1	1	1	1	0	0	0	0
20082131	20082946	0	0	NA	0	0.0638297872340425	0.000816030535975747	0	0	0	0	0	63	0	0
20083033	20083655	1564	1564	0	1	1	1	1	1	1	1	0	0	0	0
20083777	20085821	1896	1896	0	1	1	1	1	1	1	1	0	0	0	0
20567257	20567669	50	393	0	0	1	0.0397233306575754	0	0.353571428571428	0.0942807199769302	0.160172206231721	0	0	0	0
20567257	20567884	17	393	0	0	0	NA	NA	NA	0.0231435910486371	0.0633704038623044	0	0	1	0
20567257	20574379	326	393	0	0	1	0.613922502675758	0	1	0.792336191712397	0.866696887168011	0	0	0	0
20567786	20567884	14	24	0	0	1	0.00260416666666667	0	0	0.386089594287977	0.78057707237869	0	0	0	0
20567786	20567893	10	24	0	0	0	NA	NA	NA	0.21942292762131	0.613910405712023	0	-9	1	0.416666666666667
20567998	20574379	63	63	0	0	1	0.315104166666667	0	1	1	1	0	0	0	0
20573152	20574379	12	12	0	0	0	NA	NA	NA	1	1	1324	0	1	1
20574476	20582956	389	389	0	0	1	0.854166666666667	0	1	1	1	0	0	0	0
20583020	20589810	434	494	0	0	1	0.776149156893765	0	1	0.84973629909291	0.907348721150005	0	0	0	0
20583020	20590966	60	494	0	0	1	0.0155175097729012	0	0	0.0926512788499948	0.15026370090709	0	0	0	0
20589868	20590966	428	428	0	0	1	0.856770833333333	0	1	1	1	0	0	0	0
