"initial"	"last"	"count"	"total"	"flag"	"min"	"max"	"mean"	"percentile_5"	"percentile_95"	"lower"	"upper"	"potential"	"score"
19633962	19642114	1065	1065	0	0	1	0.743073047858942	0	1	1	1	0	0
19642271	19646442	1185	1185	0	0	1	0.692695214105793	0	1	1	1	0	0
19647187	19659001	0	0	NA	0	0.0111111111111111	2.79876854184159e-05	0	0	0	0	0	0
19647292	19648421	1079	1079	0	0	1	0.986932150758644	1	1	1	1	0	0
19647457	19648421	0	0	NA	0	0.0882352941176471	0.000445403117650858	0	0	0	0	0	0
19648522	19650002	1066	1066	0	0	1	0.989884238169248	1	1	1	1	0	0
19648528	19650002	0	0	NA	0	0.0159574468085106	4.0195080122193e-05	0	0	0	0	0	0
19649748	19650002	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
19650261	19658994	1102	1102	0	1	1	1	1	1	1	1	0	0
19659118	19659200	0	0	NA	0	0.0505050505050505	0.000165771216508892	0	0	0	0	0	0
19659121	19659200	1314	1314	0	0	1	0.994796445408176	1	1	1	1	0	0
19659290	19660151	25	791	0	0	0.428571428571429	0.0422344354596275	0	0.28	0.0194135406464008	0.0437975845116271	0	0
19659290	19660154	0	0	NA	0	0.0144927536231884	3.65056766327164e-05	0	0	0	0	0	0
19659290	19660581	0	0	NA	0	0.214285714285714	0.000771765686255942	0	0	0	0	0	0
19659290	19660938	0	0	NA	0	1	0.00298624472327038	0	0	0	0	0	0
19659290	19661697	766	791	0	0	1	0.92752268573381	0.651739130434783	1	0.956202415488373	0.980586459353599	0	0
19659290	19671205	0	0	NA	0	0.5	0.00125944584382872	0	0	0	0	0	0
19660270	19661697	0	0	NA	0	1	0.00615479189156771	0	0	0	0	0	0
19660321	19661697	0	0	NA	0	1	0.021553016672664	0	0	0	0	0	0
19661839	19661962	13	991	0	0	0.387096774193548	0.0255266218966016	0	0.171464330413016	0.00603392977538009	0.0202021953507551	0	0
19661839	19663039	978	991	0	0	1	0.971954486415741	0.822926093514329	1	0.979797804649245	0.99396607022462	0	0
19662078	19662786	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
19662078	19663039	0	0	NA	0	1	0.0125944584382872	0	0	0	0	0	0
19662082	19663039	11	11	0	0	1	0.0277078085642317	0	0	1	1	0	0
19663127	19666338	0	0	NA	0	0.04	0.000100755667506297	0	0	0	0	0	0
19663127	19666424	968	968	0	0	1	0.997380352644836	1	1	1	1	0	0
19666580	19668376	887	887	0	0	1	0.994882124679132	1	1	1	1	0	0
19666605	19668376	0	0	NA	0	0.0317965023847377	8.00919455534954e-05	0	0	0	0	0	0
19668532	19670235	894	894	0	0	1	0.997481108312343	1	1	1	1	0	0
19670364	19670839	187	653	0	0	0.655172413793103	0.191828037522767	0	0.39126488939308	0.251696907323492	0.321044287163491	0	0
19670364	19670843	22	653	0	0	0.35	0.00309014314239997	0	0	0.0198514159960927	0.0475299010023759	0	0
19670364	19671205	444	653	0	0.344827586206897	1	0.805081819334833	0.602639849151477	1	0.644157871664465	0.715719616850083	0	0
19670864	19673026	0	0	NA	0	0.172413793103448	0.000434291670285764	0	0	0	0	0	0
19670915	19671205	0	0	NA	0	0.461538461538462	0.00234658163224041	0	0	0	0	0	0
19670965	19671205	60	60	0	0	1	0.062710310576567	0	1	1	1	0	0
19671290	19671833	642	642	0	0	1	0.997481108312343	1	1	1	1	0	0
19672862	19672953	0	0	NA	0	0.5	0.00125944584382872	0	0	0	0	0	0
19672868	19672959	10	10	0	0	0.5	0.00125944584382872	0	0	1	1	1	0.5
19958842	19959957	225	669	0	0	1	0.0242231397871733	0	0	0.300521500545175	0.372124239365139	0	0
19958960	19959957	163	669	0	0	1	0.0779506661020072	0	1	0.211117092958311	0.276177376398939	0	0
19959088	19959957	0	0	NA	0	0.126582278481013	0.000318847049070561	0	0	0	0	0	0
19959136	19959957	281	669	0	0	1	0.0889431153237137	0	1	0.382628662563725	0.457431128168711	0	0
19960027	19965219	17	843	0	0	0.036144578313253	0.00014463771803006	0	0	0.0106768824268048	0.0296552646669081	0	0
19960027	19969830	0	0	NA	0	0.259259259259259	0.00110364772833287	0	0	0	0	0	0
19960027	19970024	136	843	0	0	1	0.150163986367674	0	0.5	0.136497607781097	0.186159568968607	0	0
19960027	19993062	690	843	0	0	1	0.669746418362285	0	1	0.792486675429529	0.844524000727055	0	0
19965282	19970024	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
19965282	19993062	0	0	NA	0	1	0.00503778337531486	0	0	0	0	0	0
19969904	19970024	0	0	NA	0	1	0.00755667506297229	0	0	0	0	0	0
19970072	19993062	127	127	0	0	1	0.400503778337531	0	1	1	1	0	0
19993560	19993825	0	0	NA	0	1	0.00425525437106327	0	0	0	0	0	0
19993565	19993825	360	360	0	0	1	0.910102428248584	0	1	1	1	0	0
19993920	20002849	1472	1472	0	0	1	0.982367758186398	1	1	1	1	0	0
20003136	20005073	719	719	0	0	1	0.962216624685139	1	1	1	1	0	0
20005240	20006373	1352	1352	0	0	1	0.957178841309824	1	1	1	1	0	0
20006587	20019546	1043	1054	0	0	1	0.974649792967697	1	1	0.983428297758168	0.99569883696669	0	0
20006587	20019550	0	0	NA	0	0.0306122448979592	0.000123412085237118	0	0	0	0	0	0
20006587	20026611	11	1054	0	0	0.0150375939849624	3.78780704910892e-05	0	0	0.00430116303330987	0.0165717022418324	0	0
20019619	20022679	0	0	NA	0	1	0.0178853663722501	0	0	0	0	0	0
