"initial"	"last"	"count"	"total"	"flag"	"min"	"max"	"mean"	"percentile_5"	"percentile_95"	"lower"	"upper"	"left"	"right"	"potential"	"score"
19174160	19176926	0	0	NA	0	1	0.00260416666666667	0	0	0	0	0	0	0	0
19177608	19178245	0	0	NA	0	1	0.00260416666666667	0	0	0	0	0	0	0	0
19178395	19179340	0	0	NA	0	1	0.00260416666666667	0	0	0	0	0	0	0	0
19179564	19181744	0	0	NA	0	1	0.00260416666666667	0	0	0	0	0	0	0	0
19430548	19432472	0	0	NA	0	1	0.00260416666666667	0	0	0	0	0	0	0	0
19451226	19464455	0	0	NA	0	1	0.00260416666666667	0	0	0	0	0	0	0	0
19465565	19467224	0	0	NA	0	1	0.00260416666666667	0	0	0	0	0	0	0	0
19492904	19493447	0	0	NA	0	1	0.00260416666666667	0	0	0	0	0	0	0	0
19674985	19675461	0	0	NA	0	1	0.00390625	0	0	0	0	0	-33	0	0
19674985	19677723	100	100	0	0	1	0.60546875	0	1	1	1	0	0	0	0
19675654	19677723	170	170	0	0	1	0.921875	0	1	1	1	0	0	0	0
19677824	19699379	0	0	NA	0	0.416666666666667	0.00282351769428044	0	0	0	0	0	0	0	0
19677824	19705661	11	302	0	0	0.352941176470588	0.00542361450634453	0	0	0.01529437639153	0.0575533057276753	0	0	0	0
19677824	19721452	0	0	NA	0	0.0892857142857143	0.000232514880952381	0	0	0	0	0	8786	0	0
19677824	19726604	0	0	NA	0	0.208333333333333	0.000615891529733959	0	0	0	0	0	3634	0	0
19677824	19730238	291	302	0	0	1	0.829446128055355	0	1	0.942446694272325	0.98470562360847	0	0	0	0
19684863	19690302	0	0	NA	0	1	0.00260416666666667	0	0	0	0	-5752	9077	0	0
19703361	19705661	569	569	0	0	0.956896551724138	0.00249191810344828	0	0	1	1	0	0	1	0
19703361	19751270	0	0	NA	0	0.0431034482758621	0.000112248563218391	0	0	0	0	0	0	0	0
19705832	19709541	1005	1005	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
19709600	19730238	1080	1080	0	1	1	1	1	1	1	1	0	0	0	0
19726724	19730238	0	0	NA	0	1	0.00520833333333333	0	0	0	0	3593	0	0	0
19728386	19730238	0	0	NA	0	1	0.00260416666666667	0	0	0	0	1931	0	0	0
19730345	19741564	1688	1688	0	1	1	1	1	1	1	1	0	0	0	0
19741650	19751270	1332	1332	0	1	1	1	1	1	1	1	0	0	0	0
19751468	19759322	1312	1312	0	1	1	1	1	1	1	1	0	0	0	0
19759419	19759528	0	0	NA	0	0.104166666666667	0.000977235767651815	0	0	0	0	0	-182	0	0
19759419	19772241	1339	1339	0	0.895833333333333	1	0.999022764232348	1	1	1	1	0	0	0	0
19759694	19772241	0	0	NA	0	1	0.00520833333333333	0	0	0	0	-275	0	0	0
19772544	19782385	845	845	0	1	1	1	1	1	1	1	0	0	0	0
19825236	19835476	465	465	0	0	1	0.958112641242938	1	1	1	1	0	0	0	0
19825236	19851354	0	0	NA	0	0.0847457627118644	0.00022069209039548	0	0	0	0	0	0	0	0
19835690	19837655	206	346	0	0	1	0.779293334487411	0	1	0.543657981032286	0.64709346405442	0	0	0	0
19835690	19838699	27	346	0	0	1	0.0163658970983759	0	0.0923913043478224	0.0497716242746105	0.106297739887239	0	0	0	0
19835690	19838901	0	0	NA	0	0.134146341463415	0.000349339430894309	0	0	0	0	0	-202	0	0
19835690	19851354	89	346	0	0	1	0.0423425468694976	0	0.346871686108165	0.211167601861898	0.303283265190125	0	0	0	0
19835690	19851688	24	346	0	0	0.0731707317073171	0.000190548780487805	0	0	0.0425924908127693	0.0961358328866527	0	0	0	0
